ID	Type	-log(pval)	residual_expression	size	Cox
ABCB1	TG	0	0.35747	0.13653	-0.2991
ASF1B	TG	0	0.069547	0.026562	0
ATAD2	TG	0	0.16782	0.064094	0
ATG5	TG	0	0.21078	0.080504	-0.2195
AURKB	TG	0	0.079092	0.030208	0.2101
BCL2	TG	0	0.076946	0.029388	0
CASP7	TG	0	0.20655	0.078886	-0.3473
CBFB	TG	0	0.10195	0.038938	0
CCL3	TG	0	1.3018	0.49721	-0.2208
CCL5	TG	0	1.8645	0.71211	-0.2775
CCNA2	TG	0	0.17211	0.065734	0
CCND2	TG	0	0.95796	0.36588	-0.1989
CD38	TG	0	1.0677	0.40779	-0.346
CDCA7	TG	0	0.12397	0.047348	0
CDK1	TG	0	0.10594	0.040462	0
CDK6	TG	0	0.24153	0.092248	0
CDKN1B	TG	0	0.58938	0.2251	-0.2984
CDKN2A	TG	0	0.10935	0.041765	0
CIITA	TF	3.1674	0	0.47232	-0.348
CTSD	TG	0	0.18117	0.069194	0
CXCR4	TG	0	0.47673	0.18208	0
DAPK2	TG	0	0.28959	0.1106	-0.1939
DBF4	TG	0	0.11215	0.042833	0
DDB2	TG	0	0.1035	0.039532	0
DDX58	TG	0	0.23903	0.091293	-0.2876
DUSP1	TG	0	0.23966	0.091536	0
E2F1	TF	3.5861	0	0.53474	0
EIF4E	TG	0	0.093794	0.035823	0
ELF4	TG	0	0.22737	0.08684	0
EP300	TG	0	0.08146	0.031112	0
ERCC5	TG	0	0.19366	0.073966	0
FANCA	TG	0	0.12999	0.049648	0
FASLG	TG	0	1.0638	0.40629	-0.3375
FMR1	TG	0	0.092744	0.035422	-0.2247
HIVEP2	TF	6.7061	0	1	0
HLA-A	TG	0	0.68413	0.26129	-0.186
HLA-B	TG	0	0.5423	0.20712	-0.3261
HLA-C	TG	0	0.54086	0.20657	-0.3065
HLA-E	TG	0	0.46202	0.17646	-0.2394
HLA-F	TG	0	0.88122	0.33657	-0.2559
HLA-G	TG	0	0.42563	0.16256	0
HNRNPA1	TG	0	0.087251	0.033324	0
HNRNPA2B1	TG	0	0.26433	0.10096	0
ID2	TG	0	1.4303	0.54629	-0.2473
IFNG	TG	0	1.6695	0.63762	-0.3961
IRF1	TF	5.7827	0.27116	0.96587	-0.367
IRF2	TG	0	0.40355	0.15413	-0.3547
KIR3DL1	TG	0	0.073124	0.027928	
KRAS	TG	0	0.34943	0.13346	0
LDHA	TG	0	0.11832	0.045189	0
LRBA	TG	0	0.42259	0.1614	0
MAP3K5	TG	0	0.16857	0.064381	0
MAPK1	TG	0	0.13058	0.049872	0
MCM5	TG	0	0.1847	0.070543	0
MCM6	TG	0	0.20815	0.079501	0
MCPH1	TG	0	0.11749	0.044875	-0.2051
MYB	TG	0	0.081381	0.031082	0
MYC	TF	5.379	0	0.8021	0
MYCN	TF	4.384	0	0.65374	0
NPAT	TG	0	0.11488	0.043875	0
PGK1	TG	0	0.076259	0.029126	0
PIM1	TG	0	0.55763	0.21298	0
PIN1	TG	0	0.21437	0.081877	0
PMAIP1	TG	0	0.29097	0.11113	0
PRF1	TG	0	2.6183	1	-0.2743
PSMB10	TG	0	0.87222	0.33313	0
PSMB9	TG	0	1.2009	0.45867	-0.3552
PTBP1	TG	0	0.19325	0.07381	0.2137
RAB4B	TG	0	0.34809	0.13295	0
RACGAP1	TG	0	0.13521	0.051641	0
RASGRP1	TG	0	0.52735	0.20141	-0.2665
RRP1B	TG	0	0.11592	0.044273	0
S100A4	TG	0	1.416	0.54081	0
ST3GAL1	TG	0	0.25249	0.096436	0
STAT4	TF	3.52	0	0.52489	-0.3414
TAP1	TG	0	1.1343	0.43321	-0.296
TAP2	TG	0	0.35444	0.13537	-0.2037
TAPBP	TG	0	0.23229	0.088719	-0.227
TBX21	TG	0	0.32021	0.1223	-0.3196
TFRC	TG	0	0.22309	0.085204	0
TNF	TG	0	0.10748	0.041049	-0.2788
TOP2A	TG	0	0.10674	0.040766	0
TP53INP1	TG	0	0.39682	0.15156	0
TP73	TG	0	0.10799	0.041245	0
TRIM22	TG	0	0.68641	0.26216	-0.3688
VCAM1	TG	0	0.86157	0.32906	-0.2205
XRCC1	TG	0	0.14892	0.056879	0
