ID	Type	-log(pval)	residual_expression	size	Cox
A2M	TG	0	0.16576	0.024547	0
ABCA1	TG	0	1.385	0.2051	0
ABCG1	TG	0	0.66575	0.098589	0
ALOX5	TG	0	2.3882	0.35366	-0.2844
ANPEP	TG	0	1.5267	0.22609	0
APOE	TG	0	1.2947	0.19172	0
ATF3	TG	0	1.4159	0.20968	0
BAX	TG	0	0.29588	0.043816	0
BCL2A1	TG	0	2.9965	0.44374	0
BCL2L1	TG	0	0.2245	0.033246	0
BCL6	TG	0	0.64738	0.095868	-0.2619
BHLHE40	TG	0	0.68041	0.10076	0
BST2	TG	0	1.2641	0.18719	-0.2792
BTG2	TG	0	1.1981	0.17742	0
C1QB	TG	0	5.8049	0.85963	-0.3374
CASP1	TG	0	1.9537	0.28932	0
CASP7	TG	0	0.26034	0.038553	-0.3473
CAT	TG	0	0.56415	0.083543	0
CCL2	TG	0	1.7005	0.25182	-0.2024
CCL20	TG	0	0.65786	0.09742	0
CCL3	TG	0	3.2783	0.48547	-0.2208
CCR1	TG	0	3.229	0.47818	-0.2844
CD14	TG	0	6.7528	1	-0.2548
CD163	TG	0	4.4673	0.66155	-0.2356
CD36	TG	0	1.3725	0.20325	0
CD40	TG	0	0.63708	0.094343	-0.2809
CD46	TG	0	0.24801	0.036727	-0.2414
CD83	TG	0	1.7091	0.2531	0
CD86	TG	0	2.9758	0.44067	-0.3292
CDKN1A	TG	0	1.7681	0.26183	0
CEBPA	TF	5.0585	0.3733	0.055281	0
CEBPD	TG	0	0.7953	0.11777	0
CIITA	TF	6.8026	0.72717	0.10768	-0.348
CISH	TG	0	0.63201	0.093592	0
CSF2RA	TG	0	1.6092	0.23829	0
CSF3R	TG	0	3.1052	0.45984	-0.1869
CTSB	TG	0	2.2935	0.33964	0
CTSD	TG	0	1.7425	0.25804	0
CTSS	TG	0	2.656	0.39332	-0.2671
CXCL10	TG	0	3.1842	0.47154	-0.3608
CXCL9	TG	0	2.0269	0.30016	-0.3328
CYBB	TG	0	3.6668	0.543	-0.3245
DBI	TG	0	0.51515	0.076286	0
DDX58	TG	0	0.19062	0.028228	-0.2876
DNASE2	TG	0	1.1427	0.16922	0
DUSP1	TG	0	1.2198	0.18064	0
EGR1	TG	0	0.50289	0.074472	0
EIF2AK2	TG	0	0.2006	0.029706	0
ERO1L	TG	0	0.41374	0.061269	
ERP44	TG	0	0.64716	0.095836	0
ETS1	TF	5.0924	0	0	0
ETS2	TF	3.8792	0	0	0
ETV6	TG	0	0.435	0.064417	-0.1999
F13A1	TG	0	2.9273	0.4335	0
FBP1	TG	0	3.0173	0.44683	-0.1994
