ID	Type	-log(pval)	residual_expression	size	Cox
ACE	TG	0	0.28355	0.073759	0
ACHE	TG	0	0.41651	0.10834	0
ADAMTS1	TG	0	0.81635	0.21236	0
ANGPT2	TG	0	0.57402	0.14932	0
ANPEP	TG	0	0.61219	0.15925	0
APP	TG	0	2.3019	0.5988	0
ASS1	TG	0	0.60975	0.15861	0
BCAR1	TG	0	0.73332	0.19076	0.1935
CCND1	TG	0	0.4385	0.11407	0
CDC42	TG	0	0.31269	0.081339	0
CDH5	TG	0	2.5495	0.66319	0
CDKN1A	TG	0	0.47946	0.12472	0
CDKN2B	TG	0	0.085991	0.022369	0
COL1A1	TG	0	3.3657	0.87552	0
CTGF	TG	0	1.6748	0.43567	0
CXCL12	TG	0	2.0672	0.53773	0
DMD	TG	0	0.10651	0.027705	0
DOCK1	TG	0	0.69522	0.18085	0
ECE1	TG	0	0.92195	0.23982	0
EGFR	TG	0	0.30008	0.078058	0
EGLN3	TG	0	0.6642	0.17278	0
EGR1	TF	3.6693	0.69138	1.0996	0
ENG	TG	0	2.7959	0.72729	0
ERG	TF	3.9892	1.3677	1.3558	0
ETS1	TF	3.6693	0	0.9198	0
ETS2	TF	3.9421	0	0.98817	0
F3	TG	0	0.18281	0.047553	0
FAP	TG	0	0.72608	0.18887	0
FBN1	TG	0	1.7531	0.45604	0
FLI1	TG	0	0.49857	0.12969	-0.1929
FN1	TG	0	1.5263	0.39704	0
FOS	TG	0	0.05908	0.015368	0
FOSL1	TG	0	0.22349	0.058136	0
FSTL3	TG	0	0.22544	0.058644	0
HIF1A	TF	3.6693	0.69046	1.0994	0
HP	TG	0	0.2643	0.068751	0
HSPB8	TG	0	0.85442	0.22226	0
HYAL1	TG	0	0.465	0.12096	0
ICAM2	TG	0	1.006	0.2617	0
ID3	TG	0	1.9488	0.50695	0
IGF2	TG	0	0.82322	0.21414	0
JUN	TG	0	0.36364	0.094594	0
KDR	TG	0	0.87914	0.22869	0
KLF3	TG	0	0.15866	0.041272	0
LGALS1	TG	0	0.30689	0.079829	0
LMO7	TG	0	0.16372	0.042587	0
LOX	TG	0	1.1146	0.28993	0
MCL1	TG	0	0.069846	0.018169	-0.2593
MDK	TG	0	1.2035	0.31307	0
MMP14	TG	0	0.13641	0.035483	0
MMP2	TG	0	2.4834	0.646	0
MYC	TG	0	0.70368	0.18305	0
NT5E	TG	0	1.3168	0.34255	0
PARP1	TF	3.9421	0	0.98817	0.1936
PDGFB	TG	0	0.43221	0.11243	0
PDGFC	TG	0	0.51668	0.1344	0
PDGFRA	TG	0	0.98169	0.25537	0
PLAU	TG	0	0.63792	0.16594	0
POR	TG	0	0.17402	0.045268	0.2573
PPARG	TG	0	0.15709	0.040863	0
PTEN	TG	0	0.2291	0.059595	0
PTGES	TG	0	0.87661	0.22803	0
PTTG1	TF	3.9421	0	0.98817	0
PTTG1IP	TG	0	0.49749	0.12941	0
RAC1	TG	0	0.67488	0.17555	0
RHOA	TG	0	0.67833	0.17645	0
RHOC	TG	0	1.6165	0.4205	0
RUNX1T1	TG	0	0.55439	0.14421	0
SAMD4A	TG	0	0.25026	0.0651	0
SERPINE1	TG	0	1.1513	0.29949	0
SKIL	TG	0	0.013581	0.0035328	0
SMAD4	TF	3.1715	0	0.79501	0
SMAD7	TG	0	0.0033814	0.00087961	-0.2161
SOX18	TG	0	0.33419	0.086933	0
SPRY1	TG	0	0.65197	0.16959	0
SRF	TF	3.6558	0	0.91642	0
TAGLN	TG	0	2.418	0.62898	0
TCF4	TG	0	1.8472	0.48051	0
TFF3	TG	0	1.5377	0.39999	0
TFPI2	TG	0	0.17229	0.044817	0
TGFB1	TG	0	0.014034	0.0036507	0
TGFB1I1	TG	0	1.4937	0.38856	0
TGFB3	TG	0	0.74864	0.19474	0
TGFBR2	TG	0	1.0969	0.28533	0
THBD	TG	0	1.7553	0.4566	0
THY1	TG	0	3.8443	1	0
TNC	TG	0	1.0827	0.28165	-0.1986
TP53	TG	0	0.21513	0.055962	0
VIM	TG	0	1.557	0.40502	0
VWF	TG	0	2.3644	0.61506	0
ZEB1	TG	0	0.61966	0.16119	-0.252
ZFP36	TG	0	0.66202	0.17221	0
