MITF	0	0.00021368	-Inf	Inf
E2F1	5.1842e-06	0.76193	-5.1672	2.7017
LEF1	0.00031898	0.38274	-3.0791	1.9567
MYC	0.00083911	0.30301	-2.5576	1.7974
TFEB	0.00022951	0.026328	-2.0596	2.6094
E2F4	0.013163	0.51121	-1.5892	1.086
TCF7	0.033244	1	-1.4783	0.73914
CNBP	0.040493	1	-1.3926	0.69631
FUBP1	0.040493	1	-1.3926	0.69631
RBL1	0.040493	1	-1.3926	0.69631
SRSF1	0.040493	1	-1.3926	0.69631
TBL1X	0.040493	1	-1.3926	0.69631
SNIP1	0.01301	0.2904	-1.3487	1.2114
MTA1	0.040493	0.63584	-1.196	0.79464
HOXA1	0.01301	0.19619	-1.1784	1.2965
OTX2	0.033244	0.17083	-0.71085	1.1229
ONECUT2	0.040493	0.13064	-0.50868	1.1383
SOX9	0.0028385	0.0045699	-0.20682	2.4435
NFIB	0.35966	0.03142	1.0587	0.97345
TBP	0.46209	0.025248	1.2625	0.96653
USF1	0.46209	0.024949	1.2677	0.96911
KLF5	0.7853	0.039743	1.2958	0.75285
POU4F2	0.35966	0.017279	1.3184	1.1033
ATF3	1	0.045439	1.3426	0.67129
PAX3	0.3587	0.01615	1.3465	1.1185
ESR1	0.10662	0.0045699	1.3679	1.6561
MYF6	1	0.040208	1.3957	0.69784
HDAC7	1	0.039743	1.4007	0.70037
MAML1	1	0.039743	1.4007	0.70037
NKX2-3	1	0.039743	1.4007	0.70037
PPARG	1	0.038667	1.4127	0.70633
LCOR	0.63305	0.024471	1.4128	0.90495
SMAD4	0.7853	0.026328	1.4746	0.84228
GTF2I	1	0.031355	1.5037	0.75185
TAF1	1	0.030017	1.5226	0.76132
SOX10	0.010342	0.00029971	1.5379	2.7543
ETS2	0.95686	0.026328	1.5604	0.79937
ETS1	1	0.025266	1.5975	0.79873
MYF5	1	0.024949	1.603	0.80148
HOXA7	0.81511	0.014961	1.7363	0.95691
EGR2	0.82433	0.013855	1.7745	0.97115
STAT3	1	0.014729	1.8318	0.91591
JUND	0.94848	0.013855	1.8354	0.94069
KLF4	1	0.012363	1.9079	0.95394
TWIST2	0.65194	0.0079141	1.9158	1.1437
KLF6	0.80978	0.0089707	1.9555	1.0694
TP53	0.31137	0.0030649	2.0069	1.5102
TFCP2	0.81471	0.007298	2.0478	1.1129
ESR2	1	0.007298	2.1368	1.0684
PARP1	1	0.007298	2.1368	1.0684
ETV4	1	0.0045699	2.3401	1.17
PPARD	1	0.0045699	2.3401	1.17
CTNNB1	0.35035	0.0015841	2.3447	1.6279
AR	1	0.0015841	2.8002	1.4001
BRCA1	1	0.00021368	3.6702	1.8351
