ID	Type	-log(pval)	residual_expression	size	Cox
CD19	TG	0	2.7368	0.7037	-0.2089
CD79A	TG	0	3.8892	1	-0.2025
CIITA	TF	11.6127	1.5187	0.39048	-0.348
FCER2	TG	0	1.9281	0.49574	0
HLA-DMA	TG	0	1.3843	0.35593	-0.3352
HLA-DMB	TG	0	2.0189	0.5191	-0.3413
HLA-DOA	TG	0	1.0479	0.26945	-0.3478
HLA-DOB	TG	0	2.1026	0.54063	-0.3218
HLA-DPA1	TG	0	2.4125	0.62031	-0.3368
HLA-DPB1	TG	0	1.8908	0.48617	-0.358
HLA-DQA1	TG	0	2.142	0.55074	-0.3022
HLA-DQA2	TG	0	1.6142	0.41505	-0.29
HLA-DQB1	TG	0	2.313	0.59472	-0.2801
HLA-DQB2	TG	0	1.1766	0.30252	-0.2963
HLA-DRA	TG	0	3.8054	0.97846	-0.3442
HLA-DRB1	TG	0	2.043	0.5253	-0.3735
HLA-DRB5	TG	0	1.6595	0.42669	-0.2956
PAX5	TF	3.0362	0	0	0
RFX1	TF	5.4894	0	0	0
RFX5	TF	Inf	0	NaN	-0.2075
RFXANK	TF	11.6127	0	0	0
RFXAP	TF	11.6127	0	0	0
